


   ------------------------------------------------------------
   |                                                          |
   |                 MONTE-CARLO CODE FOR                     |
   |          SP2 EQUATIONS (1D - Ponctual source)            |
   |             Done at Berkeley by Ilker Makine             |
   |                      OUTPUT FILE                         |
   |                                                          |
   |                                                          |
   ------------------------------------------------------------
   ---------------------------INPUT PARAMETERS---------------------



    Thickness of the media = 30
    Absorption cross-section = 0.004
    Scattering cross-section = 0.496
    Total cross-section = 0.5
    Source of neutrons = 0.008
    Number of particles = 10000
    Precision in the media (step) = 0.1



   ---------------------------TIME ELAPSED---------------------



   24.133501529693604 seconds are elapsed during the running of the code


   ---------------------------MOMENTS--------------------------



   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^m         | Theoretical values | Computational values |        Errors        |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^1         | 1.7212                 |1.7185631043370653    |-0.0015320100295926043|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^2         | 8.0                    |8.00144646078015      |0.00018080759751870623|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^3         | 49.5744                |49.825090112403       |0.005056846122252603  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^4         | 384.0                  |389.34970777246383    |0.013931530657457891  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^5         | 3569.3408              |3667.9167933050117    |0.02761742260784168   |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^6         | 3569.3408              |40485.23885017052     |0.04593561017512308   |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------



   ---------------------------EVENTS COUNTER---------------------



   589185 scatterings occurs during the simulation
   5229 escapes occurs during the simulation
   4771 absorptions occurs during the simulation



   ---------------------------FLUX(Z)----------------------------
 --- Z ---         ---FLUX(Z)--- 
   0               0.00448           0.033569
   0.1             0.005824         0.040508
   0.2             0.005344         0.037246
   0.3             0.005408         0.035549
   0.4             0.005728         0.037746
   0.5             0.007456         0.04531
   0.6             0.00592         0.038783
   0.7             0.006848         0.044723
   0.8             0.006512         0.040616
   0.9             0.008016         0.044968
   1.0             0.008096         0.047051
   1.1             0.009376         0.050547
   1.2             0.008208         0.046153
   1.3             0.008416         0.049201
   1.4             0.008912         0.048819
   1.5             0.009152         0.048684
   1.6             0.009024         0.049201
   1.7             0.009456         0.049402
   1.8             0.010736         0.053198
   1.9             0.010224         0.053157
   2.0             0.011296         0.054565
   2.1             0.0108         0.055405
   2.2             0.011248         0.056524
   2.3             0.01232         0.056427
   2.4             0.012768         0.06034
   2.5             0.011856         0.055938
   2.6             0.012512         0.0597
   2.7             0.012592         0.05922
   2.8             0.012592         0.058773
   2.9             0.014672         0.064778
   3.0             0.014464         0.063236
   3.1             0.014928         0.064268
   3.2             0.014016         0.06101
   3.3             0.0144         0.063392
   3.4             0.01552         0.065953
   3.5             0.015664         0.065586
   3.6             0.015504         0.066201
   3.7             0.015408         0.064694
   3.8             0.016704         0.069716
   3.9             0.016512         0.067691
   4.0             0.018752         0.072714
   4.1             0.017312         0.069826
   4.2             0.018352         0.070606
   4.3             0.017968         0.072003
   4.4             0.018912         0.072246
   4.5             0.018352         0.071285
   4.6             0.018624         0.07179
   4.7             0.018896         0.072018
   4.8             0.020192         0.076224
   4.9             0.021456         0.079959
   5.0             0.022448         0.083563
   5.1             0.020016         0.074306
   5.2             0.022704         0.083732
   5.3             0.020848         0.07681
   5.4             0.019712         0.073194
   5.5             0.022352         0.080963
   5.6             0.022512         0.079205
   5.7             0.02344         0.082986
   5.8             0.022848         0.079658
   5.9             0.024576         0.084767
   6.0             0.022336         0.078345
   6.1             0.023264         0.078275
   6.2             0.024864         0.084639
   6.3             0.025856         0.08579
   6.4             0.025344         0.085075
   6.5             0.026688         0.086636
   6.6             0.025568         0.085688
   6.7             0.027136         0.086586
   6.8             0.0268         0.086963
   6.9             0.029424         0.094606
   7.0             0.027392         0.089127
   7.1             0.02848         0.091404
   7.2             0.029456         0.092327
   7.3             0.026416         0.084741
   7.4             0.030352         0.093845
   7.5             0.029184         0.092692
   7.6             0.030016         0.093299
   7.7             0.028432         0.090387
   7.8             0.031248         0.096492
   7.9             0.033328         0.100381
   8.0             0.028992         0.09011
   8.1             0.03304         0.097421
   8.2             0.032176         0.096941
   8.3             0.033456         0.098109
   8.4             0.032336         0.097086
   8.5             0.033696         0.098164
   8.6             0.032368         0.094915
   8.7             0.034464         0.100391
   8.8             0.036528         0.104698
   8.9             0.038         0.1095
