


   ------------------------------------------------------------
   |                                                          |
   |                 MONTE-CARLO CODE FOR                     |
   |          SP2 EQUATIONS (1D - Ponctual source)            |
   |             Done at Berkeley by Ilker Makine             |
   |                      OUTPUT FILE                         |
   |                                                          |
   |                                                          |
   ------------------------------------------------------------
   ---------------------------INPUT PARAMETERS---------------------



    Thickness of the media = 60
    Absorption cross-section = 0.0005
    Scattering cross-section = 0.4995
    Total cross-section = 0.5
    Source of neutrons = 0.001
    Number of particles = 10000
    Precision in the media (step) = 0.2



   ---------------------------TIME ELAPSED---------------------



   59.70298981666565 seconds are elapsed during the running of the code


   ---------------------------MOMENTS--------------------------



   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^m         | Theoretical values | Computational values |        Errors        |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^1         | 1.7212                 |1.7232793511435767    |0.0012080822354035568 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^2         | 8.0                    |8.013105396967939     |0.0016381746209923609 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^3         | 49.5744                |49.66309453189688     |0.001789119624178692  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^4         | 384.0                  |384.39456211801723    |0.0010275055156698798 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^5         | 3569.3408              |3564.753567804822     |-0.0012851762978693085|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^6         | 3569.3408              |38478.75037061422     |-0.00590199315336097  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------



   ---------------------------EVENTS COUNTER---------------------



   2861090 scatterings occurs during the simulation
   7125 escapes occurs during the simulation
   2875 absorptions occurs during the simulation



   ---------------------------FLUX(Z)----------------------------
 --- Z ---         ---FLUX(Z)--- 
   0               0.000975           0.002934
   0.2             0.000945         0.002905
   0.4             0.001141         0.003324
   0.6             0.001214         0.003355
   0.8             0.00135         0.003572
   1.0             0.001517         0.003716
   1.2             0.001464         0.003643
   1.4             0.001685         0.003934
   1.6             0.001687         0.003916
   1.8             0.001743         0.004112
   2.0             0.00192         0.004253
   2.2             0.001927         0.00426
   2.4             0.002271         0.004947
   2.6             0.002295         0.004791
   2.8             0.002324         0.00483
   3.0             0.002469         0.005057
   3.2             0.002623         0.005256
   3.4             0.00272         0.005315
   3.6             0.002809         0.005343
   3.8             0.003009         0.005737
   4.0             0.002876         0.005393
   4.2             0.00311         0.005805
   4.4             0.003399         0.00618
   4.6             0.003537         0.006297
   4.8             0.003383         0.006073
   5.0             0.003645         0.006481
   5.2             0.0037         0.006374
   5.4             0.004005         0.006785
   5.6             0.0038         0.006675
   5.8             0.003967         0.00674
   6.0             0.004004         0.006847
   6.2             0.004363         0.007242
   6.4             0.0045         0.007328
   6.6             0.004581         0.007436
   6.8             0.004696         0.007562
   7.0             0.004815         0.00767
   7.2             0.0048         0.007623
   7.4             0.005181         0.007939
   7.6             0.005251         0.008139
   7.8             0.005322         0.008329
   8.0             0.005602         0.008428
   8.2             0.005345         0.008181
   8.4             0.005412         0.008228
   8.6             0.005811         0.008719
   8.8             0.005526         0.008222
   9.0             0.005946         0.008672
   9.2             0.005857         0.008529
   9.4             0.006209         0.00899
   9.6             0.006141         0.008943
   9.8             0.00612         0.008808
   10.0            0.006275        0.009016
   10.2            0.006202        0.008873
   10.4            0.006619        0.009333
   10.6            0.00708        0.009711
   10.8            0.006995        0.009896
   11.0            0.007186        0.010053
   11.2            0.007077        0.009758
   11.4            0.007517        0.010138
   11.6            0.007251        0.009884
   11.8            0.007499        0.01013
   12.0            0.007327        0.00982
   12.2            0.007676        0.010201
   12.4            0.007604        0.010229
   12.6            0.008067        0.010608
   12.8            0.008188        0.010701
   13.0            0.008463        0.010866
   13.2            0.007875        0.010275
   13.4            0.008506        0.011016
   13.6            0.008851        0.011325
