


   ------------------------------------------------------------
   |                                                          |
   |                 MONTE-CARLO CODE FOR                     |
   |           SP1 EQUATION (1D-Ponctual source)              |
   |             Done at Berkeley by Ilker Makine             |
   |                      OUTPUT FILE                         |
   |                                                          |
   |                                                          |
   ------------------------------------------------------------
   ---------------------------INPUT PARAMETERS---------------------



    Thickness of the media = 60
    Absorption cross-section = 0.0005
    Scattering cross-section = 0.4995
    Total cross-section = 0.5
    Source of neutrons = 0.001
    Number of particles = 10000
    Precision in the media (step) = 0.2



   ---------------------------TIME ELAPSED---------------------



   97.53849959373474 seconds are elapsed during the running of the code


   ---------------------------MOMENTS--------------------------



   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^m         | Theoretical values | Computational values |        Errors        |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^1         | 2.3094                 |2.310721678099164     |0.0005723036715873545 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^2         | 8.0                    |8.003042030899607     |0.00038025386245088555|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^3         | 44.9504                |36.915290157155724    |-0.17875502426773238  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^4         | 213.3328               |212.4180541736416     |-0.004287881780759445 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^5         | 1542.016               |1462.1978391641392    |-0.05176221312610304  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^6         | 1542.016               |11693.552410415448    |-0.021187036696259865 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------



   ---------------------------EVENTS COUNTER---------------------



   2756599 scatterings occurs during the simulation
   7148 escapes occurs during the simulation
   2852 absorptions occurs during the simulation



   ---------------------------FLUX(Z)----------------------------
 --- Z ---         ---FLUX(Z)--- 
   0               0.000639           0.001794
   0.2             0.000726         0.001933
   0.4             0.000803         0.002063
   0.6             0.001002         0.00237
   0.8             0.001087         0.002444
   1.0             0.00122         0.002607
   1.2             0.001202         0.002646
   1.4             0.001367         0.00287
   1.6             0.00156         0.003075
   1.8             0.001659         0.003215
   2.0             0.001747         0.003239
   2.2             0.001863         0.003442
   2.4             0.001978         0.003599
   2.6             0.002037         0.003616
   2.8             0.002169         0.003791
   3.0             0.002305         0.003942
   3.2             0.002344         0.004007
   3.4             0.002506         0.004156
   3.6             0.002656         0.004333
   3.8             0.002816         0.004528
   4.0             0.002794         0.004531
   4.2             0.002928         0.004665
   4.4             0.003202         0.004992
   4.6             0.003216         0.004954
   4.8             0.003352         0.005139
   5.0             0.00343         0.005287
   5.2             0.003522         0.005323
   5.4             0.003672         0.005405
   5.6             0.003788         0.005498
   5.8             0.004025         0.00579
   6.0             0.004087         0.005786
   6.2             0.004256         0.005984
   6.4             0.004071         0.005817
   6.6             0.004118         0.00589
   6.8             0.004417         0.006162
   7.0             0.004498         0.006216
   7.2             0.00464         0.006376
   7.4             0.004671         0.006318
   7.6             0.004971         0.006744
   7.8             0.005094         0.00684
   8.0             0.005114         0.006751
   8.2             0.005179         0.006898
   8.4             0.005343         0.007014
   8.6             0.005398         0.007044
   8.8             0.005498         0.007011
   9.0             0.005684         0.007246
   9.2             0.005638         0.007229
   9.4             0.005803         0.007443
   9.6             0.005905         0.007456
   9.8             0.005828         0.007317
   10.0            0.00612        0.007651
   10.2            0.006392        0.007829
   10.4            0.006432        0.007891
   10.6            0.006499        0.007866
   10.8            0.006767        0.008181
   11.0            0.006947        0.008331
   11.2            0.006935        0.008312
   11.4            0.006931        0.008376
   11.6            0.007041        0.008373
   11.8            0.007114        0.008413
   12.0            0.007188        0.008537
   12.2            0.00741        0.00865
   12.4            0.007458        0.008665
   12.6            0.007631        0.008817
   12.8            0.007637        0.008826
   13.0            0.007749        0.008916
   13.2            0.007738        0.00888
   13.4            0.008051        0.009122
   13.6            0.00797        0.009099
   13.8            0.008167        0.009258
   14.0            0.008401        0.009413
   14.2            0.008547        0.009593
   14.4            0.008669        0.009635
   14.6            0.008628        0.009518
   14.8            0.008878        0.009826
   15.0            0.008891        0.009841
   15.2            0.008935        0.009838
   15.4            0.009101        0.010012
   15.6            0.00926        0.010022
   15.8            0.00934        0.010085
   16.0            0.009454        0.010259
   16.2            0.009537        0.010236
   16.4            0.009591        0.0103
   16.6            0.009897        0.010641
   16.8            0.009973        0.010485
   17.0            0.010143        0.010692
   17.2            0.010193        0.010665
   17.4            0.010313        0.010823
   17.6            0.010532        0.010972
   17.8            0.010655        0.010947
   18.0            0.010713        0.011096
   18.2            0.010756        0.011089
   18.4            0.011001        0.011226
   18.6            0.011171        0.011343
   18.8            0.011222        0.011337
   19.0            0.011557        0.01167
   19.2            0.011622        0.011675
   19.4            0.011947        0.011837
   19.6            0.01169        0.011653
